 VVDSPRT ,20180608,09:42:58,ANDREWJ ,00000008,      ,20180608,000008,01.00.00,ANDREWJ.SOURCE.JCL,
 LGF4QAA ,20180604,14:46:09,ANDREWJ ,00000061,      ,20090618,000017,01.51.00,ANDREWJ.SOURCE.JCL,
 LGF4QAC ,20180604,14:45:56,ANDREWJ ,00000026,      ,20091109,000024,01.42.00,ANDREWJ.SOURCE.JCL,
 PREGETF ,20180604,14:33:23,ANDREWJ ,00000123,      ,20091109,000123,01.03.00,ANDREWJ.SOURCE.ASM,
 FLASHP1 ,20180604,11:22:10,ANDREWJ ,00000073,      ,20081117,000045,01.04.00,ANDREWJ.SOURCE.JCL,
 VON3B00 ,20180604,11:21:16,ANDREWJ ,00000001,      ,20180604,000001,01.00.00,ANDREWJ.SOURCE.JCL,
 ZALCS   ,20180604,10:02:12,ANDREWJ ,00000219,      ,20180524,000219,01.02.00,ANDREWJ.SOURCE.JCL,
 ZALCS05 ,20180604,09:55:14,ANDREWJ ,00000219,      ,20180604,000219,01.00.00,ANDREWJ.SOURCE.JCL,
 RSSWZIN ,20180531,19:02:57,ANDREWJ ,00000642,      ,20180529,000763,01.08.00,ANDREWJ.SOURCE.ASM,
 RSSWBAT ,20180531,12:29:17,ANDREWJ ,00000771,      ,20180530,000807,01.13.00,ANDREWJ.SOURCE.ASM,
 MQBATCH ,20180528,16:20:48,ANDREWJ ,00000787,      ,20180517,000869,01.07.00,ANDREWJ.SOURCE.ASM,
 MQBATCH ,20180528,15:06:35,        ,00001448,002215,0:A31R24,      ,        ,ANDREWJ.SOURCE.LMD,
 ZPF     ,20180528,11:11:05,ANDREWJ ,00000130,      ,20030627,000107,01.74.00,ANDREWJ.SOURCE.EXEC,
 USRALCS ,20180524,17:08:11,        ,00000800,002202,0:A31R24,      ,        ,ANDREWJ.SOURCE.LMD,
 USRALCS ,20180524,17:07:36,ANDREWJ ,00000270,      ,20180524,000292,01.02.00,ANDREWJ.SOURCE.ASM,
 USRMXCMD,20180524,17:01:40,        ,00000800,00212F,0:A31R24,      ,        ,ANDREWJ.SOURCE.LMD,
 ZSTAT1  ,20180524,10:24:55,ANDREWJ ,00000005,      ,20160113,000005,01.99.00,ANDREWJ.SOURCE.JCL,
